yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion_export,Region_export,TradeValue_export,rtLat,rtLon,ptLon,ptLat,mid,Subregion_import,Region_import,TradeValue_import
2000.0,2000.0,Export,Fmr Sudan,1.0,Live animals,World,World,64556853.0,,,,,12000Fmr Sudan,World,World,327689.0
2000.0,2000.0,Export,Fmr Sudan,2.0,Meat and edible meat offal,World,World,20698659.0,,,,,22000Fmr Sudan,,,
2000.0,2000.0,Export,Fmr Sudan,3.0,"Fish, crustaceans, molluscs, aquatic invertebrates nes",World,World,178022.0,,,,,32000Fmr Sudan,World,World,17083.0
2000.0,2000.0,Export,Fmr Sudan,4.0,"Dairy products, eggs, honey, edible animal product nes",World,World,47644.0,,,,,42000Fmr Sudan,World,World,12494885.0
2000.0,2000.0,Export,Fmr Sudan,5.0,"Products of animal origin, nes",World,World,299573.0,,,,,52000Fmr Sudan,World,World,8132.0
2000.0,2000.0,Export,Fmr Sudan,7.0,Edible vegetables and certain roots and tubers,World,World,74124.0,,,,,72000Fmr Sudan,World,World,16732965.0
2000.0,2000.0,Export,Fmr Sudan,8.0,"Edible fruit, nuts, peel of citrus fruit, melons",World,World,2946449.0,,,,,82000Fmr Sudan,World,World,986388.0
2000.0,2000.0,Export,Fmr Sudan,9.0,"Coffee, tea, mate and spices",World,World,1248667.0,,,,,92000Fmr Sudan,World,World,43512592.0
2000.0,2000.0,Export,Fmr Sudan,10.0,Cereals,World,World,13981436.0,,,,,102000Fmr Sudan,World,World,185501804.0
2000.0,2000.0,Export,Fmr Sudan,12.0,"Oil seed, oleagic fruits, grain, seed, fruit, etc, nes",World,World,178223673.0,,,,,122000Fmr Sudan,World,World,1753177.0
2000.0,2000.0,Export,Fmr Sudan,13.0,"Lac, gums, resins, vegetable saps and extracts nes",World,World,20863277.0,,,,,132000Fmr Sudan,World,World,263928.0
2000.0,2000.0,Export,Fmr Sudan,15.0,"Animal,vegetable fats and oils, cleavage products, etc",World,World,6180084.0,,,,,152000Fmr Sudan,World,World,28603488.0
2000.0,2000.0,Export,Fmr Sudan,17.0,Sugars and sugar confectionery,World,World,18751198.0,,,,,172000Fmr Sudan,World,World,8270288.0
2000.0,2000.0,Export,Fmr Sudan,20.0,"Vegetable, fruit, nut, etc food preparations",World,World,2464.0,,,,,202000Fmr Sudan,World,World,3857333.0
2000.0,2000.0,Export,Fmr Sudan,22.0,"Beverages, spirits and vinegar",World,World,3650.0,,,,,222000Fmr Sudan,World,World,504202.0
2000.0,2000.0,Export,Fmr Sudan,23.0,"Residues, wastes of food industry, animal fodder",World,World,4867017.0,,,,,232000Fmr Sudan,World,World,1577571.0
2000.0,2000.0,Export,Fmr Sudan,24.0,Tobacco and manufactured tobacco substitutes,World,World,121874.0,,,,,242000Fmr Sudan,World,World,550475.0
2000.0,2000.0,Export,Fmr Sudan,25.0,"Salt, sulphur, earth, stone, plaster, lime and cement",World,World,415.0,,,,,252000Fmr Sudan,World,World,23903863.0
2000.0,2000.0,Export,Fmr Sudan,29.0,Organic chemicals,World,World,275358.0,,,,,292000Fmr Sudan,World,World,21010781.0
2000.0,2000.0,Export,Fmr Sudan,30.0,Pharmaceutical products,World,World,349097.0,,,,,302000Fmr Sudan,World,World,52058794.0
2000.0,2000.0,Export,Fmr Sudan,31.0,Fertilizers,World,World,224781.0,,,,,312000Fmr Sudan,World,World,6248776.0
2000.0,2000.0,Export,Fmr Sudan,32.0,"Tanning, dyeing extracts, tannins, derivs,pigments etc",World,World,8960.0,,,,,322000Fmr Sudan,World,World,4416541.0
2000.0,2000.0,Export,Fmr Sudan,33.0,"Essential oils, perfumes, cosmetics, toileteries",World,World,4671.0,,,,,332000Fmr Sudan,World,World,8716745.0
2000.0,2000.0,Export,Fmr Sudan,38.0,Miscellaneous chemical products,World,World,19641.0,,,,,382000Fmr Sudan,World,World,15605145.0
2000.0,2000.0,Export,Fmr Sudan,39.0,Plastics and articles thereof,World,World,119327.0,,,,,392000Fmr Sudan,World,World,60443922.0
2000.0,2000.0,Export,Fmr Sudan,40.0,Rubber and articles thereof,World,World,183657.0,,,,,402000Fmr Sudan,World,World,25726172.0
2000.0,2000.0,Export,Fmr Sudan,41.0,Raw hides and skins (other than furskins) and leather,World,World,15636269.0,,,,,412000Fmr Sudan,World,World,2090.0
2000.0,2000.0,Export,Fmr Sudan,42.0,"Articles of leather, animal gut, harness, travel goods",World,World,9622.0,,,,,422000Fmr Sudan,World,World,1912640.0
2000.0,2000.0,Export,Fmr Sudan,44.0,"Wood and articles of wood, wood charcoal",World,World,209488.0,,,,,442000Fmr Sudan,World,World,14005738.0
2000.0,2000.0,Export,Fmr Sudan,48.0,"Paper & paperboard, articles of pulp, paper and board",World,World,2887.0,,,,,482000Fmr Sudan,World,World,35548440.0
2000.0,2000.0,Export,Fmr Sudan,49.0,"Printed books, newspapers, pictures etc",World,World,279249.0,,,,,492000Fmr Sudan,World,World,1844948.0
2000.0,2000.0,Export,Fmr Sudan,52.0,Cotton,World,World,63465125.0,,,,,522000Fmr Sudan,World,World,1183096.0
2000.0,2000.0,Export,Fmr Sudan,63.0,"Other made textile articles, sets, worn clothing etc",World,World,230016.0,,,,,632000Fmr Sudan,World,World,22010054.0
2000.0,2000.0,Export,Fmr Sudan,64.0,"Footwear, gaiters and the like, parts thereof",World,World,2986.0,,,,,642000Fmr Sudan,World,World,9154525.0
2000.0,2000.0,Export,Fmr Sudan,68.0,"Stone, plaster, cement, asbestos, mica, etc articles",World,World,4740.0,,,,,682000Fmr Sudan,World,World,2523007.0
2000.0,2000.0,Export,Fmr Sudan,69.0,Ceramic products,World,World,948.0,,,,,692000Fmr Sudan,World,World,8405240.0
2000.0,2000.0,Export,Fmr Sudan,71.0,"Pearls, precious stones, metals, coins, etc",World,World,57331295.0,,,,,712000Fmr Sudan,World,World,306747.0
2000.0,2000.0,Export,Fmr Sudan,72.0,Iron and steel,World,World,409528.0,,,,,722000Fmr Sudan,World,World,43238120.0
2000.0,2000.0,Export,Fmr Sudan,73.0,Articles of iron or steel,World,World,231703.0,,,,,732000Fmr Sudan,World,World,50079526.0
2000.0,2000.0,Export,Fmr Sudan,74.0,Copper and articles thereof,World,World,1811990.0,,,,,742000Fmr Sudan,World,World,910339.0
2000.0,2000.0,Export,Fmr Sudan,76.0,Aluminium and articles thereof,World,World,57754.0,,,,,762000Fmr Sudan,World,World,9763744.0
2000.0,2000.0,Export,Fmr Sudan,79.0,Zinc and articles thereof,World,World,77260.0,,,,,792000Fmr Sudan,World,World,3196912.0
2000.0,2000.0,Export,Fmr Sudan,82.0,"Tools, implements, cutlery, etc of base metal",World,World,2431073.0,,,,,822000Fmr Sudan,World,World,11948262.0
