yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,3702421,25.3336984,51.2295295,-16.85099460447687,133.4130365630627
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,20684,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,1003,25.3336984,51.2295295,51.67568633314729,27.673469819741847
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,39992,25.3336984,51.2295295,,
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,9869,25.3336984,51.2295295,17.925141963241547,-78.01492950057497
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,350369,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,935302,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,1138446,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,687452,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,12654,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,14302,25.3336984,51.2295295,6.06272746187266,22.727528470146083
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,3459,25.3336984,51.2295295,,
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,336751,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,687608,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,World,World,26853678,25.3336984,51.2295295,,
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Bahrain, Bahrain,47446,25.3336984,51.2295295,,
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Cyprus, Cyprus,59334,25.3336984,51.2295295,,
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Jordan, Jordan,1201,25.3336984,51.2295295,,
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Kuwait, Kuwait,1130559,25.3336984,51.2295295,,
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Lebanon, Lebanon,65775,25.3336984,51.2295295,,
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Malta, Malta,25340,25.3336984,51.2295295,,
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Oman, Oman,613375,25.3336984,51.2295295,,
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Pakistan, Pakistan,132641,25.3336984,51.2295295,,
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,275953,25.3336984,51.2295295,,
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,State of Palestine, State of Palestine,5345,25.3336984,51.2295295,,
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,15139386,25.3336984,51.2295295,,
2010,2010,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,17271,25.3336984,51.2295295,,
