yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Export,Libya,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,3385,26.82,18.12,43.897683433510366,-100.08947125585888
2017,2017,Export,Libya,11,Products of the milling industry; malt; starches; inulin,World,World,7530,26.82,18.12,,
2017,2017,Export,Libya,11,Products of the milling industry; malt; starches; inulin,Georgia, Georgia,4145,26.82,18.12,,
