yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1082213,20.2540382,-9.2399263,37.977378106878206,73.97804075806764
2018,2018,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,8072,20.2540382,-9.2399263,43.897683433510366,-100.08947125585888
2018,2018,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,50022,20.2540382,-9.2399263,10.528384761701911,103.08333472012376
2018,2018,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,103480,20.2540382,-9.2399263,40.12399607988535,20.742583178432696
2018,2018,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,2833,20.2540382,-9.2399263,6.06272746187266,22.727528470146083
2018,2018,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,341811,20.2540382,-9.2399263,,
2018,2018,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,8530,20.2540382,-9.2399263,26.42921218083572,52.86847103284948
2018,2018,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,502260,20.2540382,-9.2399263,47.92172048214207,7.866753258497997
2018,2018,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,2217120,20.2540382,-9.2399263,,
2018,2018,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,66667,20.2540382,-9.2399263,,
2018,2018,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,15958,20.2540382,-9.2399263,,
2018,2018,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,11330,20.2540382,-9.2399263,,
2018,2018,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,23937,20.2540382,-9.2399263,,
