rtTitle,Subregion,rgDesc,TradeValue
Yemen,Algeria,Export,57347
Yemen,Algeria,Re-Export,200
Yemen,Armenia,Export,77362
Yemen,Armenia,Import,43983561
Yemen,Azerbaijan,Export,43750
Yemen,Bahrain,Export,515554
Yemen,Bahrain,Import,8042389
Yemen,Bahrain,Re-Export,19320
Yemen,Comoros,Export,29687
Yemen,Comoros,Import,63860
Yemen,Cyprus,Export,100
Yemen,Cyprus,Import,1651307
Yemen,Djibouti,Export,12884492
Yemen,Djibouti,Import,342997
Yemen,Djibouti,Re-Export,52714
Yemen,Georgia,Import,1465059
Yemen,Iraq,Export,15640293
Yemen,Iraq,Import,950454
Yemen,Iraq,Re-Export,1367
Yemen,Jordan,Export,13373535
Yemen,Jordan,Import,39828537
Yemen,Jordan,Re-Export,237065
Yemen,Kuwait,Export,188339998
Yemen,Kuwait,Import,656464586
Yemen,Kuwait,Re-Export,131307
Yemen,Lebanon,Export,1354371
Yemen,Lebanon,Import,5419845
Yemen,Lebanon,Re-Export,2793
Yemen,Libya,Export,1864185
Yemen,Libya,Import,1
Yemen,Malta,Export,3970
Yemen,Malta,Import,137824
Yemen,Mauritania,Export,417548
Yemen,Mauritania,Import,6411
Yemen,Morocco,Export,178940
Yemen,Morocco,Import,8776999
Yemen,Morocco,Re-Export,131265
Yemen,Oman,Export,10592543
Yemen,Oman,Import,57204003
Yemen,Oman,Re-Export,44366
Yemen,Pakistan,Export,1782730
Yemen,Pakistan,Import,25465661
Yemen,Pakistan,Re-Export,39438
Yemen,Qatar,Export,1843347
Yemen,Qatar,Import,9168754
Yemen,Qatar,Re-Export,25607
Yemen,Saudi Arabia,Export,134118238
Yemen,Saudi Arabia,Import,397277314
Yemen,Saudi Arabia,Re-Export,1244264
Yemen,State of Palestine,Import,91239
Yemen,United Arab Emirates,Export,568974186
Yemen,United Arab Emirates,Import,1865066435
Yemen,United Arab Emirates,Re-Export,1490560
Yemen,World,Export,7376764143
Yemen,World,Import,7739953830
Yemen,World,Re-Export,239137039
