yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,5504,33.87,35.84,-16.85099460447687,133.4130365630627
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,62864,33.87,35.84,37.977378106878206,73.97804075806764
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,369843,33.87,35.84,51.67568633314729,27.673469819741847
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,15899,33.87,35.84,17.925141963241547,-78.01492950057497
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,152894,33.87,35.84,43.897683433510366,-100.08947125585888
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,88421,33.87,35.84,59.36075159783851,25.01346951967388
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,8042,33.87,35.84,10.528384761701911,103.08333472012376
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,27869,33.87,35.84,25.499703063807168,75.5024015339642
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1696823,33.87,35.84,40.12399607988535,20.742583178432696
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,28,33.87,35.84,6.06272746187266,22.727528470146083
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,2364,33.87,35.84,,
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,521360,33.87,35.84,26.42921218083572,52.86847103284948
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,6210637,33.87,35.84,47.92172048214207,7.866753258497997
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,World,World,9480493,33.87,35.84,,
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Cyprus, Cyprus,74032,33.87,35.84,,
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Malta, Malta,14324,33.87,35.84,,
2006,2006,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,215582,33.87,35.84,,
