yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Import,Yemen,World,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",4046617,,,-36.8535712,174.7456809
2018,2018,Import,Yemen,Brazil,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",6126,,,-10.3333333,-53.2
2018,2018,Import,Yemen,China,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",4282,,,35.000074,104.999927
2018,2018,Import,Yemen,Japan,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",159847,,,36.5748441,139.2394179
2018,2018,Import,Yemen,Jordan,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",9080,,,31.1667049,36.941628
2018,2018,Import,Yemen,Lebanon,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",880,,,33.8750629,35.843409
2018,2018,Import,Yemen,Oman,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",256648,,,21.0000287,57.0036901
2018,2018,Import,Yemen,Netherlands,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",2001,,,52.2434979,5.6343227
2018,2018,Import,Yemen,Saudi Arabia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",481055,,,25.6242618,42.3528328
2018,2018,Import,Yemen,Viet Nam,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",4804,,,15.9266657,107.9650855
2018,2018,Import,Yemen,Thailand,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",900489,,,14.8971921,100.83273
2018,2018,Import,Yemen,United Arab Emirates,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",93732,,,24.0002488,53.9994829
2018,2018,Import,Yemen,Egypt,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",2252,,,26.2540493,29.2675469
2018,2018,Import,Yemen,"Areas, nes",16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",2125416,,,,
