yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,1271,25.3336984,51.2295295,17.925141963241547,-78.01492950057497
2010,2010,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,11314,25.3336984,51.2295295,19.569604022535763,12.47761721199581
2010,2010,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,53913,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2010,2010,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,64079,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2010,2010,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,247,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2010,2010,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,78494,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2010,2010,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,World,World,1321825,25.3336984,51.2295295,,
