yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2017,2017,Re-Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,7024
2017,2017,Re-Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,27272
2017,2017,Re-Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,143570
