yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Armenia,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,3035422,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2005,2005,Export,Armenia,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,165090,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2005,2005,Export,Armenia,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,64,40.7696272,44.6736646,10.528384761701911,103.08333472012376
2005,2005,Export,Armenia,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,20,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2005,2005,Export,Armenia,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,5697,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2005,2005,Export,Armenia,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,20892,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2005,2005,Export,Armenia,4,Dairy produce; birds eggs; natural honey;,World,World,3782927,40.7696272,44.6736646,,
2005,2005,Export,Armenia,4,Dairy produce; birds eggs; natural honey;,Georgia, Georgia,552877,40.7696272,44.6736646,,
2005,2005,Export,Armenia,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,2865,40.7696272,44.6736646,,
