yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,9354,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2005,2005,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,118696,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2005,2005,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,1750726,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2005,2005,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,75282,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2005,2005,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,199210,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2005,2005,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,774041,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2005,2005,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,10470,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2005,2005,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,776770,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2005,2005,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,11958,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2005,2005,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,313,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2005,2005,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,10889044,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2005,2005,Import,Turkey,11,Products of the milling industry; malt; starches; inulin,World,World,14998169,38.9597594,34.9249653,,
2005,2005,Import,Turkey,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,3231,38.9597594,34.9249653,,
2005,2005,Import,Turkey,11,Products of the milling industry; malt; starches; inulin, Iraq, Iraq,23476,38.9597594,34.9249653,,
2005,2005,Import,Turkey,11,Products of the milling industry; malt; starches; inulin, Israel, Israel,154560,38.9597594,34.9249653,,
