yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,27789,,,-16.85099460447687,133.4130365630627
2006,2006,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1450172,,,37.977378106878206,73.97804075806764
2006,2006,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,273597,,,,
2006,2006,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,722197,,,17.925141963241547,-78.01492950057497
2006,2006,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,99769,,,43.897683433510366,-100.08947125585888
2006,2006,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,728070,,,59.36075159783851,25.01346951967388
2006,2006,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,32215,,,10.528384761701911,103.08333472012376
2006,2006,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,695211,,,40.12399607988535,20.742583178432696
2006,2006,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,348057,,,26.42921218083572,52.86847103284948
2006,2006,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,2206409,,,47.92172048214207,7.866753258497997
2006,2006,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,12472920,,,,
2006,2006,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,144784,,,,
2006,2006,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes, Pakistan, Pakistan,200,,,,
2006,2006,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,2976379,,,,
2006,2006,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,55486,,,,
