yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Central Asia,Asia,142454,,,39.89317229901691,61.060280637304274
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,1110482,,,51.67568633314729,27.673469819741847
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,213163,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,55799,,,17.925141963241547,-78.01492950057497
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,4847,,,43.897683433510366,-100.08947125585888
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,4464,,,59.36075159783851,25.01346951967388
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,161,,,10.528384761701911,103.08333472012376
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,368333,,,25.499703063807168,75.5024015339642
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,116452,,,40.12399607988535,20.742583178432696
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,185325,,,6.06272746187266,22.727528470146083
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Tunisia,Tunisia,731655,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,482887,,,26.42921218083572,52.86847103284948
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,312428,,,47.92172048214207,7.866753258497997
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,28609275,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Afghanistan, Afghanistan,1559,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Algeria, Algeria,1536601,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Azerbaijan, Azerbaijan,67695,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Bahrain, Bahrain,13867,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Cyprus, Cyprus,16805,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Djibouti, Djibouti,44630,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Georgia, Georgia,12141,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Iraq, Iraq,468570,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Jordan, Jordan,259711,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Kuwait, Kuwait,839020,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Lebanon, Lebanon,1435387,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Libya, Libya,9397451,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Mauritania, Mauritania,114962,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Morocco, Morocco,378273,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Oman, Oman,34,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Qatar, Qatar,117396,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Saudi Arabia, Saudi Arabia,6533975,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, United Arab Emirates, United Arab Emirates,1850861,,,,
2009,2009,Export,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Yemen, Yemen,1089560,,,,
