yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,9751,33.87,35.84,-16.85099460447687,133.4130365630627
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,394,33.87,35.84,37.977378106878206,73.97804075806764
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,2814,33.87,35.84,51.67568633314729,27.673469819741847
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,661426,33.87,35.84,,
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,41349,33.87,35.84,17.925141963241547,-78.01492950057497
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,17915,33.87,35.84,43.897683433510366,-100.08947125585888
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,49426,33.87,35.84,59.36075159783851,25.01346951967388
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,378,33.87,35.84,10.528384761701911,103.08333472012376
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,904631,33.87,35.84,25.499703063807168,75.5024015339642
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,1086,33.87,35.84,40.12399607988535,20.742583178432696
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,254217,33.87,35.84,6.06272746187266,22.727528470146083
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,1221927,33.87,35.84,,
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,1495533,33.87,35.84,26.42921218083572,52.86847103284948
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,30474,33.87,35.84,47.92172048214207,7.866753258497997
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,9574389,33.87,35.84,,
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Algeria, Algeria,1152043,33.87,35.84,,
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Bahrain, Bahrain,63,33.87,35.84,,
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Cyprus, Cyprus,771,33.87,35.84,,
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Iraq, Iraq,443795,33.87,35.84,,
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,798563,33.87,35.84,,
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,2604,33.87,35.84,,
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Morocco, Morocco,278966,33.87,35.84,,
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,257001,33.87,35.84,,
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,72195,33.87,35.84,,
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,798629,33.87,35.84,,
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,92031,33.87,35.84,,
2011,2011,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Yemen, Yemen,520862,33.87,35.84,,
