yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,1184,16.3471243,47.8915271,-16.85099460447687,133.4130365630627
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,753490,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,206685,16.3471243,47.8915271,51.67568633314729,27.673469819741847
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,121000,16.3471243,47.8915271,,
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,509,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,346401,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,343641,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,14689,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,29589,16.3471243,47.8915271,25.499703063807168,75.5024015339642
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,254146,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,208930,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,393684,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,5493194,16.3471243,47.8915271,,
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,623,16.3471243,47.8915271,,
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,387,16.3471243,47.8915271,,
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,4001,16.3471243,47.8915271,,
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,1783,16.3471243,47.8915271,,
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,1912096,16.3471243,47.8915271,,
2010,2010,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,136109,16.3471243,47.8915271,,
