yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,6309,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,51704,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,9654,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,164492,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,39654,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;,World,World,19461559,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Afghanistan, Afghanistan,49428,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,1763597,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Cyprus, Cyprus,30134,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Djibouti, Djibouti,3864,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Iraq, Iraq,207837,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,1706582,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,344234,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,107191,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,1154197,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,8559349,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,5208803,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,20247,29.2733964,47.4979476,,
