yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Export,Comoros,World,1,Animals; live,119,,,-36.8535712,174.7456809
2019,2019,Export,Comoros,World,1,Animals; live,1342,,,-36.8535712,174.7456809
2016,2016,Export,Kuwait,World,1,Animals; live,7996246,,,-36.8535712,174.7456809
2018,2018,Export,Kuwait,World,1,Animals; live,54960026,,,-36.8535712,174.7456809
2019,2019,Export,Kuwait,World,1,Animals; live,2438366,,,-36.8535712,174.7456809
2020,2020,Export,Kuwait,World,1,Animals; live,11473470,,,-36.8535712,174.7456809
2016,2016,Export,Oman,World,1,Animals; live,110566172,,,-36.8535712,174.7456809
2017,2017,Export,Oman,World,1,Animals; live,66393666,,,-36.8535712,174.7456809
2018,2018,Export,Oman,World,1,Animals; live,136409215,,,-36.8535712,174.7456809
2019,2019,Export,Oman,World,1,Animals; live,57540041,,,-36.8535712,174.7456809
2021,2021,Export,Oman,World,1,Animals; live,139685739,,,-36.8535712,174.7456809
2016,2016,Export,Qatar,World,1,Animals; live,34893017,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017,Export,Qatar,World,1,Animals; live,23970130,25.3336984,51.2295295,-36.8535712,174.7456809
2018,2018,Export,Qatar,World,1,Animals; live,12949876,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Export,Qatar,World,1,Animals; live,14579777,25.3336984,51.2295295,-36.8535712,174.7456809
2020,2020,Export,Qatar,World,1,Animals; live,14155285,25.3336984,51.2295295,-36.8535712,174.7456809
2021,2021,Export,Qatar,World,1,Animals; live,27751066,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Export,Saudi Arabia,World,1,Animals; live,76574539,,,-36.8535712,174.7456809
2018,2018,Export,Saudi Arabia,World,1,Animals; live,88623015,,,-36.8535712,174.7456809
2019,2019,Export,Saudi Arabia,World,1,Animals; live,44545953,,,-36.8535712,174.7456809
2020,2020,Export,Saudi Arabia,World,1,Animals; live,76783614,,,-36.8535712,174.7456809
2015,2015,Export,Turkey,World,1,Animals; live,34472551,38.9597594,34.9249653,-36.8535712,174.7456809
2016,2016,Export,Turkey,World,1,Animals; live,27913652,38.9597594,34.9249653,-36.8535712,174.7456809
2017,2017,Export,Turkey,World,1,Animals; live,34672803,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Export,Turkey,World,1,Animals; live,57965812,38.9597594,34.9249653,-36.8535712,174.7456809
2019,2019,Export,Turkey,World,1,Animals; live,84612024,38.9597594,34.9249653,-36.8535712,174.7456809
2021,2021,Export,Turkey,World,1,Animals; live,106121167,38.9597594,34.9249653,-36.8535712,174.7456809
