yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Australia and New Zealand,Oceania,358011,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,1732840,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,234116,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,2119021,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,3005846,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,803413,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,306648,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,135553,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,109532,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,2198511,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,194885,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,2113721,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,20420654,24.0002488,53.9994829,,
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Kuwait, Kuwait,44360,24.0002488,53.9994829,,
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Oman, Oman,169963,24.0002488,53.9994829,,
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Pakistan, Pakistan,1572552,24.0002488,53.9994829,,
2008,2008,Import,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Saudi Arabia, Saudi Arabia,227545,24.0002488,53.9994829,,
