yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,27215,25.6242618,42.3528328,59.36075159783851,25.01346951967388
2007,2007,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,443975,25.6242618,42.3528328,40.12399607988535,20.742583178432696
2007,2007,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,1171838,25.6242618,42.3528328,6.06272746187266,22.727528470146083
2007,2007,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,130204,25.6242618,42.3528328,26.42921218083572,52.86847103284948
2007,2007,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,6833056,25.6242618,42.3528328,,
2007,2007,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Cyprus, Cyprus,1130216,25.6242618,42.3528328,,
2007,2007,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Djibouti, Djibouti,27482,25.6242618,42.3528328,,
2007,2007,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Jordan, Jordan,743605,25.6242618,42.3528328,,
2007,2007,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,829252,25.6242618,42.3528328,,
2007,2007,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Lebanon, Lebanon,256406,25.6242618,42.3528328,,
2007,2007,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Libya, Libya,214784,25.6242618,42.3528328,,
2007,2007,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Qatar, Qatar,33085,25.6242618,42.3528328,,
2007,2007,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,1163034,25.6242618,42.3528328,,
2007,2007,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Yemen, Yemen,193172,25.6242618,42.3528328,,
