yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,361867,25.62,42.35,37.977378106878206,73.97804075806764
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,523201,25.62,42.35,,
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,277867,25.62,42.35,43.897683433510366,-100.08947125585888
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,40000,25.62,42.35,59.36075159783851,25.01346951967388
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,541067,25.62,42.35,10.528384761701911,103.08333472012376
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,77067,25.62,42.35,25.499703063807168,75.5024015339642
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,361600,25.62,42.35,40.12399607988535,20.742583178432696
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,115200,25.62,42.35,6.06272746187266,22.727528470146083
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,42933,25.62,42.35,26.42921218083572,52.86847103284948
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,World,World,100099592,25.62,42.35,,
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,37116846,25.62,42.35,,
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,7740810,25.62,42.35,,
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,10238946,25.62,42.35,,
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,147200,25.62,42.35,,
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,46667,25.62,42.35,,
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,12407749,25.62,42.35,,
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,10951480,25.62,42.35,,
2004,2004,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Yemen, Yemen,18381090,25.62,42.35,,
