yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,1024,30.3308401,71.247499,39.89317229901691,61.060280637304274
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,13264,30.3308401,71.247499,,
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,1920,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,16842,30.3308401,71.247499,59.36075159783851,25.01346951967388
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,3363755,30.3308401,71.247499,10.528384761701911,103.08333472012376
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,98990,30.3308401,71.247499,25.499703063807168,75.5024015339642
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,53934,30.3308401,71.247499,40.12399607988535,20.742583178432696
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,577317,30.3308401,71.247499,6.06272746187266,22.727528470146083
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,348073,30.3308401,71.247499,26.42921218083572,52.86847103284948
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,573446,30.3308401,71.247499,47.92172048214207,7.866753258497997
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,7434134,30.3308401,71.247499,,
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Afghanistan, Afghanistan,87533,30.3308401,71.247499,,
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Bahrain, Bahrain,3229,30.3308401,71.247499,,
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Djibouti, Djibouti,21427,30.3308401,71.247499,,
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,901,30.3308401,71.247499,,
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Malta, Malta,602,30.3308401,71.247499,,
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Oman, Oman,155,30.3308401,71.247499,,
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,284,30.3308401,71.247499,,
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,133,30.3308401,71.247499,,
2014,2014,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,2267048,30.3308401,71.247499,,
