yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,71370,31.1667049,36.941628,37.977378106878206,73.97804075806764
2017,2017,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,4709,31.1667049,36.941628,51.67568633314729,27.673469819741847
2017,2017,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,93849,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2017,2017,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,38875,31.1667049,36.941628,59.36075159783851,25.01346951967388
2017,2017,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,794,31.1667049,36.941628,10.528384761701911,103.08333472012376
2017,2017,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,81109,31.1667049,36.941628,40.12399607988535,20.742583178432696
2017,2017,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,113216,31.1667049,36.941628,26.42921218083572,52.86847103284948
2017,2017,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,65102,31.1667049,36.941628,47.92172048214207,7.866753258497997
2017,2017,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,1875894,31.1667049,36.941628,,
2017,2017,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Pakistan, Pakistan,22054,31.1667049,36.941628,,
2017,2017,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,268159,31.1667049,36.941628,,
