yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Re-Export,Oman,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",46816,,,-36.8535712,174.7456809
2016,2016,Re-Export,Oman,Italy,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2,,,42.6384261,12.674297
2016,2016,Re-Export,Oman,Somalia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",45513,,,8.3676771,49.083416
2016,2016,Re-Export,Oman,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1300,,,24.0002488,53.9994829
2017,2017,Re-Export,Oman,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",649063,,,-36.8535712,174.7456809
2017,2017,Re-Export,Oman,Qatar,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",539971,,,25.3336984,51.2295295
2017,2017,Re-Export,Oman,Saudi Arabia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",668,,,25.6242618,42.3528328
2017,2017,Re-Export,Oman,Somalia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",72954,,,8.3676771,49.083416
2017,2017,Re-Export,Oman,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",14767,,,24.0002488,53.9994829
2017,2017,Re-Export,Oman,Yemen,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",20702,,,16.3471243,47.8915271
2018,2018,Re-Export,Oman,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",627198,,,-36.8535712,174.7456809
2018,2018,Re-Export,Oman,Iran,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1300,,,32.6475314,54.5643516
2018,2018,Re-Export,Oman,Kuwait,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1258,,,29.2733964,47.4979476
2018,2018,Re-Export,Oman,Qatar,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",438553,,,25.3336984,51.2295295
2018,2018,Re-Export,Oman,Somalia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",145711,,,8.3676771,49.083416
2018,2018,Re-Export,Oman,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",38972,,,24.0002488,53.9994829
2018,2018,Re-Export,Oman,Yemen,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1401,,,16.3471243,47.8915271
2019,2019,Re-Export,Oman,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",411927,,,-36.8535712,174.7456809
2019,2019,Re-Export,Oman,Bahrain,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",5513,,,26.1551249,50.5344606
2019,2019,Re-Export,Oman,Iran,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1300,,,32.6475314,54.5643516
2019,2019,Re-Export,Oman,Qatar,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",309399,,,25.3336984,51.2295295
2019,2019,Re-Export,Oman,Saudi Arabia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",509,,,25.6242618,42.3528328
2019,2019,Re-Export,Oman,Somalia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",58860,,,8.3676771,49.083416
2019,2019,Re-Export,Oman,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",36332,,,24.0002488,53.9994829
2019,2019,Re-Export,Oman,United Kingdom,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",10,,,54.7023545,-3.2765753
2020,2020,Re-Export,Oman,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",314012,,,-36.8535712,174.7456809
2020,2020,Re-Export,Oman,Bahrain,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",6322,,,26.1551249,50.5344606
2020,2020,Re-Export,Oman,Iran,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1862,,,32.6475314,54.5643516
2020,2020,Re-Export,Oman,Qatar,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",292566,,,25.3336984,51.2295295
2020,2020,Re-Export,Oman,Saudi Arabia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",4668,,,25.6242618,42.3528328
2020,2020,Re-Export,Oman,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",8592,,,24.0002488,53.9994829
2021,2021,Re-Export,Oman,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",355765,,,-36.8535712,174.7456809
2021,2021,Re-Export,Oman,Iran,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2247,,,32.6475314,54.5643516
2021,2021,Re-Export,Oman,Qatar,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",296754,,,25.3336984,51.2295295
2021,2021,Re-Export,Oman,Somalia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",39198,,,8.3676771,49.083416
2021,2021,Re-Export,Oman,Spain,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",52,,,39.3260685,-4.8379791
2021,2021,Re-Export,Oman,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",13113,,,24.0002488,53.9994829
2021,2021,Re-Export,Oman,United Kingdom,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",3407,,,54.7023545,-3.2765753
2021,2021,Re-Export,Oman,USA,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",938,,,,
2021,2021,Re-Export,Oman,Yemen,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",54,,,16.3471243,47.8915271
