yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Import,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,19648292,,,-36.8535712,174.7456809
2019,2019,Import,Kuwait,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,732618,,,26.1551249,50.5344606
2019,2019,Import,Kuwait,Brazil,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,4779,,,-10.3333333,-53.2
2019,2019,Import,Kuwait,China,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,12996,,,35.000074,104.999927
2019,2019,Import,Kuwait,Czechia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,12714,,,,
2019,2019,Import,Kuwait,France,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,51879,,,46.603354,1.8883335
2019,2019,Import,Kuwait,Germany,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,229361,,,51.1638175,10.4478313
2019,2019,Import,Kuwait,Japan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,3827,,,36.5748441,139.2394179
2019,2019,Import,Kuwait,Rep. of Korea,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,16495,,,,
2019,2019,Import,Kuwait,Netherlands,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,131003,,,52.2434979,5.6343227
2019,2019,Import,Kuwait,Russian Federation,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1252652,,,64.6863136,97.7453061
2019,2019,Import,Kuwait,Saudi Arabia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,10643755,,,25.6242618,42.3528328
2019,2019,Import,Kuwait,India,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,92950,,,22.3511148,78.6677428
2019,2019,Import,Kuwait,South Africa,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,234,,,-28.8166236,24.991639
2019,2019,Import,Kuwait,Sweden,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,569304,,,59.6749712,14.5208584
2019,2019,Import,Kuwait,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,666746,,,24.0002488,53.9994829
2019,2019,Import,Kuwait,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,9887,,,38.9597594,34.9249653
2019,2019,Import,Kuwait,United Kingdom,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,83746,,,54.7023545,-3.2765753
2019,2019,Import,Kuwait,USA,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5133346,,,,
