yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Georgia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,159386,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2011,2011,Import,Georgia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,39717,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2011,2011,Import,Georgia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,162,32.3293809,-83.1137366,,
2011,2011,Import,Georgia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,49932,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2011,2011,Import,Georgia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,192,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2011,2011,Import,Georgia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,54352,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2011,2011,Import,Georgia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,4569,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2011,2011,Import,Georgia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,2742305,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2011,2011,Import,Georgia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,112872,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2011,2011,Import,Georgia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,4595930,32.3293809,-83.1137366,,
2011,2011,Import,Georgia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Armenia, Armenia,20,32.3293809,-83.1137366,,
2011,2011,Import,Georgia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Azerbaijan, Azerbaijan,3962,32.3293809,-83.1137366,,
2011,2011,Import,Georgia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Cyprus, Cyprus,1241,32.3293809,-83.1137366,,
2011,2011,Import,Georgia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Pakistan, Pakistan,135383,32.3293809,-83.1137366,,
2011,2011,Import,Georgia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,United Arab Emirates, United Arab Emirates,1291828,32.3293809,-83.1137366,,
