yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,54073,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,6927784,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,61079,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,558276,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,48501,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,351,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,17267,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Polynesia,Oceania,401321,21.0000287,57.0036901,-5.109184731250752,167.40343615892436
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,2678369,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,137206,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,93800,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,11076514,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,200,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,882620,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,17789,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,World,World,99893457,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Algeria, Algeria,262830,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,1752885,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Cyprus, Cyprus,202354,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Djibouti, Djibouti,714222,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Iraq, Iraq,1144308,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,353483,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,114913,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Lebanon, Lebanon,208871,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Libya, Libya,19368,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Morocco, Morocco,24031,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Pakistan, Pakistan,431074,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Qatar, Qatar,2543986,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,788206,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,25020646,21.0000287,57.0036901,,
2009,2009,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Yemen, Yemen,32978388,21.0000287,57.0036901,,
