yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Comoros,World,35,Albuminoidal substances; modified starches; glues; enzymes,69836,,,-36.8535712,174.7456809
2018,2018,Import,Comoros,World,35,Albuminoidal substances; modified starches; glues; enzymes,77451,,,-36.8535712,174.7456809
2019,2019,Import,Comoros,World,35,Albuminoidal substances; modified starches; glues; enzymes,44927,,,-36.8535712,174.7456809
2020,2020,Import,Comoros,World,35,Albuminoidal substances; modified starches; glues; enzymes,72907,,,-36.8535712,174.7456809
2016,2016,Import,Kuwait,World,35,Albuminoidal substances; modified starches; glues; enzymes,29778900,,,-36.8535712,174.7456809
2018,2018,Import,Kuwait,World,35,Albuminoidal substances; modified starches; glues; enzymes,33586438,,,-36.8535712,174.7456809
2019,2019,Import,Kuwait,World,35,Albuminoidal substances; modified starches; glues; enzymes,30467431,,,-36.8535712,174.7456809
2020,2020,Import,Kuwait,World,35,Albuminoidal substances; modified starches; glues; enzymes,26656542,,,-36.8535712,174.7456809
2016,2016,Import,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,25422236,,,-36.8535712,174.7456809
2017,2017,Import,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,24719217,,,-36.8535712,174.7456809
2018,2018,Import,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,30596332,,,-36.8535712,174.7456809
2019,2019,Import,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,27486247,,,-36.8535712,174.7456809
2020,2020,Import,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,25537240,,,-36.8535712,174.7456809
2021,2021,Import,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,32373136,,,-36.8535712,174.7456809
2016,2016,Import,Qatar,World,35,Albuminoidal substances; modified starches; glues; enzymes,24975266,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017,Import,Qatar,World,35,Albuminoidal substances; modified starches; glues; enzymes,23869187,25.3336984,51.2295295,-36.8535712,174.7456809
2018,2018,Import,Qatar,World,35,Albuminoidal substances; modified starches; glues; enzymes,22021238,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Import,Qatar,World,35,Albuminoidal substances; modified starches; glues; enzymes,19365324,25.3336984,51.2295295,-36.8535712,174.7456809
2020,2020,Import,Qatar,World,35,Albuminoidal substances; modified starches; glues; enzymes,19189451,25.3336984,51.2295295,-36.8535712,174.7456809
2021,2021,Import,Qatar,World,35,Albuminoidal substances; modified starches; glues; enzymes,20983588,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Import,Saudi Arabia,World,35,Albuminoidal substances; modified starches; glues; enzymes,174244751,,,-36.8535712,174.7456809
2018,2018,Import,Saudi Arabia,World,35,Albuminoidal substances; modified starches; glues; enzymes,175300919,,,-36.8535712,174.7456809
2019,2019,Import,Saudi Arabia,World,35,Albuminoidal substances; modified starches; glues; enzymes,185492109,,,-36.8535712,174.7456809
2020,2020,Import,Saudi Arabia,World,35,Albuminoidal substances; modified starches; glues; enzymes,175514050,,,-36.8535712,174.7456809
2015,2015,Import,Turkey,World,35,Albuminoidal substances; modified starches; glues; enzymes,467570622,38.9597594,34.9249653,-36.8535712,174.7456809
2016,2016,Import,Turkey,World,35,Albuminoidal substances; modified starches; glues; enzymes,438778529,38.9597594,34.9249653,-36.8535712,174.7456809
2017,2017,Import,Turkey,World,35,Albuminoidal substances; modified starches; glues; enzymes,469788646,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Import,Turkey,World,35,Albuminoidal substances; modified starches; glues; enzymes,458546040,38.9597594,34.9249653,-36.8535712,174.7456809
2019,2019,Import,Turkey,World,35,Albuminoidal substances; modified starches; glues; enzymes,449953251,38.9597594,34.9249653,-36.8535712,174.7456809
2021,2021,Import,Turkey,World,35,Albuminoidal substances; modified starches; glues; enzymes,497758975,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Import,Yemen,World,35,Albuminoidal substances; modified starches; glues; enzymes,2755887,,,-36.8535712,174.7456809
2019,2019,Import,Yemen,World,35,Albuminoidal substances; modified starches; glues; enzymes,4620224,,,-36.8535712,174.7456809
