yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2007,2007,Re-Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,2850
2007,2007,Re-Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,107520
2007,2007,Re-Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,515152
