rtTitle,Subregion,rgDesc,TradeValue
Kuwait,Afghanistan,Export,184874
Kuwait,Afghanistan,Import,61869
Kuwait,Afghanistan,Re-Export,147430
Kuwait,Algeria,Export,1339850
Kuwait,Algeria,Import,165941
Kuwait,Algeria,Re-Export,46071
Kuwait,Armenia,Export,3325
Kuwait,Armenia,Import,22142
Kuwait,Armenia,Re-Export,3325
Kuwait,Azerbaijan,Export,20811
Kuwait,Azerbaijan,Re-Export,20811
Kuwait,Bahrain,Export,25101664
Kuwait,Bahrain,Import,46091885
Kuwait,Bahrain,Re-Export,7676157
Kuwait,Cyprus,Export,4428648
Kuwait,Cyprus,Import,8620871
Kuwait,Cyprus,Re-Export,193790
Kuwait,Djibouti,Export,79413
Kuwait,Georgia,Export,5377
Kuwait,Georgia,Re-Export,5377
Kuwait,Iraq,Export,241527
Kuwait,Iraq,Re-Export,230498
Kuwait,Jordan,Export,29995749
Kuwait,Jordan,Import,40298724
Kuwait,Jordan,Re-Export,10943348
Kuwait,Lebanon,Export,18050595
Kuwait,Lebanon,Import,53868824
Kuwait,Lebanon,Re-Export,2477368
Kuwait,Libya,Export,46699
Kuwait,Libya,Import,6598
Kuwait,Libya,Re-Export,25970
Kuwait,Malta,Import,2318927
Kuwait,Mauritania,Export,374061
Kuwait,Mauritania,Import,82480
Kuwait,Mauritania,Re-Export,4484
Kuwait,Morocco,Export,10444083
Kuwait,Morocco,Import,5978667
Kuwait,Morocco,Re-Export,365843
Kuwait,Oman,Export,21470408
Kuwait,Oman,Import,26396961
Kuwait,Oman,Re-Export,3482154
Kuwait,Pakistan,Export,57995836
Kuwait,Pakistan,Import,59589297
Kuwait,Pakistan,Re-Export,883065
Kuwait,Qatar,Export,36594094
Kuwait,Qatar,Import,15551197
Kuwait,Qatar,Re-Export,12259650
Kuwait,Saudi Arabia,Export,172197697
Kuwait,Saudi Arabia,Import,548025468
Kuwait,Saudi Arabia,Re-Export,54769474
Kuwait,State of Palestine,Export,856
Kuwait,State of Palestine,Import,783050
Kuwait,State of Palestine,Re-Export,856
Kuwait,United Arab Emirates,Export,137685753
Kuwait,United Arab Emirates,Import,311334924
Kuwait,United Arab Emirates,Re-Export,36889552
Kuwait,Yemen,Export,10190503
Kuwait,Yemen,Import,247996
Kuwait,Yemen,Re-Export,1945796
