yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion_export,Region_export,TradeValue_export,rtLat,rtLon,ptLon,ptLat,mid,Subregion_import,Region_import,TradeValue_import
2017.0,2017.0,Export,Azerbaijan,51.0,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",World,World,173082.0,40.3936294,47.7872508,,,512017Azerbaijan,World,World,952993.0
2017.0,2017.0,Export,Azerbaijan,52.0,Cotton,World,World,51962307.0,40.3936294,47.7872508,,,522017Azerbaijan,World,World,4616192.0
2017.0,2017.0,Export,Azerbaijan,53.0,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,World,World,71208.0,40.3936294,47.7872508,,,532017Azerbaijan,World,World,2657920.0
2017.0,2017.0,Export,Azerbaijan,54.0,Man-made filaments; strip and the like of man-made textile materials,World,World,1182996.0,40.3936294,47.7872508,,,542017Azerbaijan,World,World,32905457.0
2017.0,2017.0,Export,Azerbaijan,58.0,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",World,World,404288.0,40.3936294,47.7872508,,,582017Azerbaijan,World,World,2207461.0
2017.0,2017.0,Export,Azerbaijan,59.0,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",World,World,18195.0,40.3936294,47.7872508,,,592017Azerbaijan,World,World,7224133.0
2017.0,2017.0,Export,Azerbaijan,60.0,Fabrics; knitted or crocheted,World,World,120.0,40.3936294,47.7872508,,,602017Azerbaijan,World,World,11362672.0
2017.0,2017.0,Export,Azerbaijan,61.0,Apparel and clothing accessories; knitted or crocheted,World,World,249144.0,40.3936294,47.7872508,,,612017Azerbaijan,World,World,98929301.0
2017.0,2017.0,Export,Azerbaijan,63.0,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",World,World,20425176.0,40.3936294,47.7872508,,,632017Azerbaijan,World,World,29016373.0
2017.0,2017.0,Export,Azerbaijan,65.0,Headgear and parts thereof,World,World,51469.0,40.3936294,47.7872508,,,652017Azerbaijan,World,World,2900490.0
2017.0,2017.0,Export,Azerbaijan,67.0,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",World,World,2582.0,40.3936294,47.7872508,,,672017Azerbaijan,World,World,728853.0
2017.0,2017.0,Export,Azerbaijan,68.0,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",World,World,7403987.0,40.3936294,47.7872508,,,682017Azerbaijan,World,World,50109342.0
2017.0,2017.0,Export,Azerbaijan,70.0,Glass and glassware,World,World,144003.0,40.3936294,47.7872508,,,702017Azerbaijan,World,World,79396572.0
2017.0,2017.0,Export,Azerbaijan,74.0,Copper and articles thereof,World,World,30697904.0,40.3936294,47.7872508,,,742017Azerbaijan,World,World,17920906.0
2017.0,2017.0,Export,Azerbaijan,75.0,Nickel and articles thereof,World,World,2140.0,40.3936294,47.7872508,,,752017Azerbaijan,World,World,1448425.0
2017.0,2017.0,Export,Azerbaijan,78.0,Lead and articles thereof,World,World,10014003.0,40.3936294,47.7872508,,,782017Azerbaijan,World,World,247368.0
2017.0,2017.0,Export,Azerbaijan,79.0,Zinc and articles thereof,World,World,1165694.0,40.3936294,47.7872508,,,792017Azerbaijan,World,World,2507179.0
2017.0,2017.0,Export,Azerbaijan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",World,World,2364330.0,40.3936294,47.7872508,,,822017Azerbaijan,World,World,41968030.0
2017.0,2017.0,Export,Azerbaijan,83.0,Metal; miscellaneous products of base metal,World,World,241328.0,40.3936294,47.7872508,,,832017Azerbaijan,World,World,38873234.0
2017.0,2017.0,Export,Azerbaijan,84.0,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",World,World,36022130.0,40.3936294,47.7872508,,,842017Azerbaijan,World,World,1302483537.0
2017.0,2017.0,Export,Azerbaijan,86.0,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",World,World,750312.0,40.3936294,47.7872508,,,862017Azerbaijan,World,World,158536788.0
2017.0,2017.0,Export,Azerbaijan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",World,World,10397610.0,40.3936294,47.7872508,,,872017Azerbaijan,World,World,422565623.0
2017.0,2017.0,Export,Azerbaijan,89.0,"Ships, boats and floating structures",World,World,372609.0,40.3936294,47.7872508,,,892017Azerbaijan,World,World,17104198.0
2017.0,2017.0,Export,Azerbaijan,91.0,Clocks and watches and parts thereof,World,World,215623.0,40.3936294,47.7872508,,,912017Azerbaijan,World,World,9496458.0
2017.0,2017.0,Export,Azerbaijan,92.0,Musical instruments; parts and accessories of such articles,World,World,48188.0,40.3936294,47.7872508,,,922017Azerbaijan,World,World,555126.0
2017.0,2017.0,Export,Azerbaijan,95.0,"Toys, games and sports requisites; parts and accessories thereof",World,World,142800.0,40.3936294,47.7872508,,,952017Azerbaijan,World,World,22248494.0
2017.0,2017.0,Export,Azerbaijan,96.0,Miscellaneous manufactured articles,World,World,44630.0,40.3936294,47.7872508,,,962017Azerbaijan,World,World,52399696.0
2017.0,2017.0,Export,Azerbaijan,97.0,Works of art; collectors' pieces and antiques,World,World,136989.0,40.3936294,47.7872508,,,972017Azerbaijan,World,World,2050524.0
2017.0,2017.0,Export,Azerbaijan,99.0,Commodities not specified according to kind,World,World,2199027.0,40.3936294,47.7872508,,,992017Azerbaijan,World,World,488289012.0
