yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2001,2001,Import,Georgia,16,"Meat, fish and seafood food preparations nes",Australia and New Zealand,Oceania,15020
2001,2001,Import,Georgia,16,"Meat, fish and seafood food preparations nes",Eastern Asia,Asia,249673
2001,2001,Import,Georgia,16,"Meat, fish and seafood food preparations nes",Eastern Europe,Europe,1229602
2001,2001,Import,Georgia,16,"Meat, fish and seafood food preparations nes",Latin America and the Caribbean,Americas,161034
2001,2001,Import,Georgia,16,"Meat, fish and seafood food preparations nes",Northern America,Americas,28056
2001,2001,Import,Georgia,16,"Meat, fish and seafood food preparations nes",Northern Europe,Europe,145616
2001,2001,Import,Georgia,16,"Meat, fish and seafood food preparations nes",Polynesia,Oceania,8807
2001,2001,Import,Georgia,16,"Meat, fish and seafood food preparations nes",Southern Europe,Europe,598508
2001,2001,Import,Georgia,16,"Meat, fish and seafood food preparations nes",Western Asia,Asia,30029
2001,2001,Import,Georgia,16,"Meat, fish and seafood food preparations nes",Western Europe,Europe,2227346
2001,2001,Import,Georgia,16,"Meat, fish and seafood food preparations nes",World,World,4705255
