yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,830,33.8750629,35.843409,-16.85099460447687,133.4130365630627
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,268985,33.8750629,35.843409,37.977378106878206,73.97804075806764
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,826345,33.8750629,35.843409,51.67568633314729,27.673469819741847
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,238847,33.8750629,35.843409,,
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,16806,33.8750629,35.843409,17.925141963241547,-78.01492950057497
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,1605462,33.8750629,35.843409,43.897683433510366,-100.08947125585888
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,152276,33.8750629,35.843409,59.36075159783851,25.01346951967388
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,204231,33.8750629,35.843409,10.528384761701911,103.08333472012376
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,16732,33.8750629,35.843409,25.499703063807168,75.5024015339642
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,2163964,33.8750629,35.843409,40.12399607988535,20.742583178432696
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,208,33.8750629,35.843409,6.06272746187266,22.727528470146083
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,1715,33.8750629,35.843409,,
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,1211576,33.8750629,35.843409,26.42921218083572,52.86847103284948
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,8636686,33.8750629,35.843409,47.92172048214207,7.866753258497997
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,15933071,33.8750629,35.843409,,
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Bahrain, Bahrain,267,33.8750629,35.843409,,
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Cyprus, Cyprus,79907,33.8750629,35.843409,,
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Lebanon, Lebanon,199,33.8750629,35.843409,,
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Malta, Malta,3085,33.8750629,35.843409,,
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Pakistan, Pakistan,1253,33.8750629,35.843409,,
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,201503,33.8750629,35.843409,,
2007,2007,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,210205,33.8750629,35.843409,,
