yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,165819,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,216969,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,1399,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,17736,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,1040168,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,1959233,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,1640905,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,2821998,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,1523979,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,425305,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,699248,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,34779,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,196287,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,4250553,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,World,World,24272190,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Cyprus, Cyprus,277869,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Jordan, Jordan,76580,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Kuwait, Kuwait,1647,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Lebanon, Lebanon,228554,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Malta, Malta,72497,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Pakistan, Pakistan,383880,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Qatar, Qatar,29203,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,1020268,24.0002488,53.9994829,,
2003,2003,Import,United Arab Emirates,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,9726,24.0002488,53.9994829,,
