yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,533235,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2009,2009,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,1482,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2009,2009,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,324,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2009,2009,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,91763,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2009,2009,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,60105,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2009,2009,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,89004,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2009,2009,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,17350,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2009,2009,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,1260487,16.3471243,47.8915271,,
2009,2009,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Jordan, Jordan,15073,16.3471243,47.8915271,,
2009,2009,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Saudi Arabia, Saudi Arabia,36417,16.3471243,47.8915271,,
2009,2009,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,United Arab Emirates, United Arab Emirates,471,16.3471243,47.8915271,,
