yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2020,2020,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,18131,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2020,2020,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,3,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2020,2020,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,143,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2020,2020,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,14,32.3293809,-83.1137366,6.06272746187266,22.727528470146083
2020,2020,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,9051,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2020,2020,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,222,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2020,2020,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,528974,32.3293809,-83.1137366,,
2020,2020,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Armenia, Armenia,422473,32.3293809,-83.1137366,,
2020,2020,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Azerbaijan, Azerbaijan,72543,32.3293809,-83.1137366,,
2020,2020,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Israel, Israel,6353,32.3293809,-83.1137366,,
2020,2020,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,36,32.3293809,-83.1137366,,
