yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1830323,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,5352,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,319,21.0000287,57.0036901,,
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,4408,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,682311,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,356288,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,249578,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,4717,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,350706,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,46,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,51055,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1320615,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,24719217,21.0000287,57.0036901,,
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,1165,21.0000287,57.0036901,,
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,109050,21.0000287,57.0036901,,
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,1807,21.0000287,57.0036901,,
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,1188678,21.0000287,57.0036901,,
2017,2017,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,15334916,21.0000287,57.0036901,,
