yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Export,Oman,World,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",35130449,,,-36.8535712,174.7456809
2018,2018,Export,Oman,Bahrain,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",15893,,,26.1551249,50.5344606
2018,2018,Export,Oman,Brazil,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1636546,,,-10.3333333,-53.2
2018,2018,Export,Oman,China,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",90889,,,35.000074,104.999927
2018,2018,Export,Oman,State of Palestine,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",20712,,,31.46242095,34.262716572130714
2018,2018,Export,Oman,Ghana,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",33289,,,8.0300284,-1.0800271
2018,2018,Export,Oman,"China, Hong Kong SAR",16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",322990,,,22.350627,114.1849161
2018,2018,Export,Oman,Italy,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",5966,,,42.6384261,12.674297
2018,2018,Export,Oman,Jordan,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",219604,,,31.1667049,36.941628
2018,2018,Export,Oman,Kenya,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",7,,,1.4419683,38.4313975
2018,2018,Export,Oman,Kuwait,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",7175013,,,29.2733964,47.4979476
2018,2018,Export,Oman,Lebanon,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",15817,,,33.8750629,35.843409
2018,2018,Export,Oman,Liberia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",56642,,,5.7499721,-9.3658524
2018,2018,Export,Oman,Libya,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",4603448,,,26.8234472,18.1236723
2018,2018,Export,Oman,"Other Asia, nes",16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",416293,,,,
2018,2018,Export,Oman,Qatar,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",3652787,,,25.3336984,51.2295295
2018,2018,Export,Oman,Saudi Arabia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1242618,,,25.6242618,42.3528328
2018,2018,Export,Oman,India,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",458299,,,22.3511148,78.6677428
2018,2018,Export,Oman,Viet Nam,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",8312576,,,15.9266657,107.9650855
2018,2018,Export,Oman,Somalia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",22150,,,8.3676771,49.083416
2018,2018,Export,Oman,Spain,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",137201,,,39.3260685,-4.8379791
2018,2018,Export,Oman,Thailand,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1857596,,,14.8971921,100.83273
2018,2018,Export,Oman,United Arab Emirates,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",3680519,,,24.0002488,53.9994829
2018,2018,Export,Oman,Tunisia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",92668,,,33.8439408,9.400138
2018,2018,Export,Oman,Egypt,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",390179,,,26.2540493,29.2675469
2018,2018,Export,Oman,Yemen,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",670733,,,16.3471243,47.8915271
