yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,4340008,,,37.977378106878206,73.97804075806764
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,275,,,51.67568633314729,27.673469819741847
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,79479224,,,,
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,430199,,,17.925141963241547,-78.01492950057497
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,16025,,,43.897683433510366,-100.08947125585888
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,463554,,,59.36075159783851,25.01346951967388
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,1506145,,,10.528384761701911,103.08333472012376
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,394449,,,40.12399607988535,20.742583178432696
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,85100,,,6.06272746187266,22.727528470146083
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,161918,,,26.42921218083572,52.86847103284948
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,15729,,,47.92172048214207,7.866753258497997
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,World,World,91235190,,,,
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,241070,,,,
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,2126,,,,
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,1721830,,,,
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,368474,,,,
2006,2006,Import,Fmr Sudan,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,580890,,,,
