yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Re-Export,Kuwait,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",11674,,,-36.8535712,174.7456809
2016,2016,Re-Export,Kuwait,Bahrain,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1319,,,26.1551249,50.5344606
2016,2016,Re-Export,Kuwait,Iraq,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",165,,,33.0955793,44.1749775
2016,2016,Re-Export,Kuwait,Lebanon,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",3321,,,33.8750629,35.843409
2016,2016,Re-Export,Kuwait,Oman,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2302,,,21.0000287,57.0036901
2016,2016,Re-Export,Kuwait,Qatar,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",562,,,25.3336984,51.2295295
2016,2016,Re-Export,Kuwait,Saudi Arabia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2504,,,25.6242618,42.3528328
2016,2016,Re-Export,Kuwait,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1498,,,24.0002488,53.9994829
2019,2019,Re-Export,Kuwait,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",139134,,,-36.8535712,174.7456809
2019,2019,Re-Export,Kuwait,Bahrain,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",494,,,26.1551249,50.5344606
2019,2019,Re-Export,Kuwait,Iran,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2273,,,32.6475314,54.5643516
2019,2019,Re-Export,Kuwait,Jordan,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",107179,,,31.1667049,36.941628
2019,2019,Re-Export,Kuwait,Qatar,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",3019,,,25.3336984,51.2295295
2019,2019,Re-Export,Kuwait,Saudi Arabia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",14662,,,25.6242618,42.3528328
2019,2019,Re-Export,Kuwait,Switzerland,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1717,,,46.7985624,8.2319736
2019,2019,Re-Export,Kuwait,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",4032,,,24.0002488,53.9994829
2019,2019,Re-Export,Kuwait,Turkey,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",5758,,,38.9597594,34.9249653
2020,2020,Re-Export,Kuwait,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",108616,,,-36.8535712,174.7456809
2020,2020,Re-Export,Kuwait,Bahrain,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1624,,,26.1551249,50.5344606
2020,2020,Re-Export,Kuwait,Iran,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2143,,,32.6475314,54.5643516
2020,2020,Re-Export,Kuwait,Iraq,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",9964,,,33.0955793,44.1749775
2020,2020,Re-Export,Kuwait,Qatar,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",76193,,,25.3336984,51.2295295
2020,2020,Re-Export,Kuwait,Saudi Arabia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",15286,,,25.6242618,42.3528328
2020,2020,Re-Export,Kuwait,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",3406,,,24.0002488,53.9994829
