yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,95130,40.3936294,47.7872508,-16.85099460447687,133.4130365630627
2004,2004,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Central Asia,Asia,201459,40.3936294,47.7872508,39.89317229901691,61.060280637304274
2004,2004,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,2852252,40.3936294,47.7872508,51.67568633314729,27.673469819741847
2004,2004,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,1264216,40.3936294,47.7872508,43.897683433510366,-100.08947125585888
2004,2004,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,10076,40.3936294,47.7872508,59.36075159783851,25.01346951967388
2004,2004,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,88969,40.3936294,47.7872508,25.499703063807168,75.5024015339642
2004,2004,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,40,40.3936294,47.7872508,6.06272746187266,22.727528470146083
2004,2004,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,1185121,40.3936294,47.7872508,26.42921218083572,52.86847103284948
2004,2004,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,936977,40.3936294,47.7872508,47.92172048214207,7.866753258497997
2004,2004,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin,World,World,6667257,40.3936294,47.7872508,,
2004,2004,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,2652,40.3936294,47.7872508,,
2004,2004,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin, Israel, Israel,9562,40.3936294,47.7872508,,
2004,2004,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,3200,40.3936294,47.7872508,,
2004,2004,Import,Azerbaijan,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,17603,40.3936294,47.7872508,,
