yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,379778,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2016,2016,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,462917,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2016,2016,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,299,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2016,2016,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,12115463,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2016,2016,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,10789647,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2016,2016,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,10990,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2016,2016,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,265,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2016,2016,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,13400530,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2016,2016,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,15620,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2016,2016,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,131953,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2016,2016,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,171768,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2016,2016,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,39485218,21.0000287,57.0036901,,
2016,2016,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Kuwait, Kuwait,1022,21.0000287,57.0036901,,
2016,2016,Import,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, United Arab Emirates, United Arab Emirates,163066,21.0000287,57.0036901,,
