yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2003,2003,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,20454
2003,2003,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,50998
2003,2003,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,16499
2003,2003,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,708
2003,2003,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,1967360
2003,2003,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,93034
2003,2003,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,427030
2003,2003,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,3191
2003,2003,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,24938
2003,2003,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,4765885
2003,2003,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,6690
2003,2003,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,55474
2003,2003,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,407665
2003,2003,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,World,World,9812493
