yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2003,2003,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,128528
2003,2003,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,207397
2003,2003,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,76377
2003,2003,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,366549
2003,2003,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,889571
2003,2003,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,63391
2003,2003,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,1693
2003,2003,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,712066
2003,2003,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,100148
2003,2003,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1729701
2003,2003,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,5949947
