yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,110702,31.1728205,-7.3362482,-16.85099460447687,133.4130365630627
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,80491110,31.1728205,-7.3362482,39.89317229901691,61.060280637304274
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,2030980,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,430431261,31.1728205,-7.3362482,51.67568633314729,27.673469819741847
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,4348823,31.1728205,-7.3362482,,
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,6890242,31.1728205,-7.3362482,17.925141963241547,-78.01492950057497
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,6741370,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,6455442,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,4130,31.1728205,-7.3362482,10.528384761701911,103.08333472012376
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,292984,31.1728205,-7.3362482,25.499703063807168,75.5024015339642
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,67465315,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,430867,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,308130,31.1728205,-7.3362482,,
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,5701413,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,79355419,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,World,World,898837032,31.1728205,-7.3362482,,
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Algeria, Algeria,1079318,31.1728205,-7.3362482,,
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,7507,31.1728205,-7.3362482,,
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,14974194,31.1728205,-7.3362482,,
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Libya, Libya,6016453,31.1728205,-7.3362482,,
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Qatar, Qatar,47777608,31.1728205,-7.3362482,,
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,85687173,31.1728205,-7.3362482,,
2011,2011,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,48738551,31.1728205,-7.3362482,,
