yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,7246000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,41000,30.8124247,34.8594762,39.89317229901691,61.060280637304274
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,2976000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,803000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,1453000,30.8124247,34.8594762,,
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,24349000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,9440000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,2433000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,458000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,15345000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,1793000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,2466000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,18108000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,World,World,90432000,30.8124247,34.8594762,,
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Cyprus, Cyprus,327000,30.8124247,34.8594762,,
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,163000,30.8124247,34.8594762,,
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Malta, Malta,34000,30.8124247,34.8594762,,
2005,2005,Export,Israel,25,Salt; sulfur; earths and stone; plastering materials,Mauritania, Mauritania,6000,30.8124247,34.8594762,,
