rtTitle,Subregion,rgDesc,TradeValue
Libya,Algeria,Export,17116877
Libya,Algeria,Import,8391583
Libya,Bahrain,Export,1640573
Libya,Bahrain,Import,5417125
Libya,Cyprus,Export,18561290
Libya,Cyprus,Import,2086661
Libya,Jordan,Export,2333110
Libya,Jordan,Import,18045180
Libya,Kuwait,Import,289033
Libya,Lebanon,Export,25700312
Libya,Lebanon,Import,4668890
Libya,Malta,Export,43323953
Libya,Malta,Import,26232178
Libya,Morocco,Export,62457034
Libya,Morocco,Import,19716411
Libya,Oman,Export,1795332
Libya,Oman,Import,2962922
Libya,Pakistan,Export,2931
Libya,Pakistan,Import,2993876
Libya,Qatar,Import,301895
Libya,Saudi Arabia,Import,29653235
Libya,United Arab Emirates,Export,975638
Libya,United Arab Emirates,Import,58715909
Libya,World,Export,32391168105
Libya,World,Import,6554197492
Libya,Yemen,Import,680906
