yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,2508414,25.6242618,42.3528328,-16.85099460447687,133.4130365630627
2006,2006,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,26283609,25.6242618,42.3528328,37.977378106878206,73.97804075806764
2006,2006,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,2655810,25.6242618,42.3528328,51.67568633314729,27.673469819741847
2006,2006,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,988252,25.6242618,42.3528328,17.925141963241547,-78.01492950057497
2006,2006,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,9725779,25.6242618,42.3528328,19.569604022535763,12.47761721199581
2006,2006,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,22493216,25.6242618,42.3528328,43.897683433510366,-100.08947125585888
2006,2006,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,5217629,25.6242618,42.3528328,59.36075159783851,25.01346951967388
2006,2006,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,239520,25.6242618,42.3528328,10.528384761701911,103.08333472012376
2006,2006,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,2413087,25.6242618,42.3528328,25.499703063807168,75.5024015339642
2006,2006,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,9140198,25.6242618,42.3528328,40.12399607988535,20.742583178432696
2006,2006,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,2286784,25.6242618,42.3528328,6.06272746187266,22.727528470146083
2006,2006,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,3542861,25.6242618,42.3528328,26.42921218083572,52.86847103284948
2006,2006,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,15067841,25.6242618,42.3528328,47.92172048214207,7.866753258497997
2006,2006,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,World,World,145649832,25.6242618,42.3528328,,
