yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,81175,25.62,42.35,37.977378106878206,73.97804075806764
2006,2006,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,634981,25.62,42.35,,
2006,2006,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,149800,25.62,42.35,10.528384761701911,103.08333472012376
2006,2006,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,55007,25.62,42.35,6.06272746187266,22.727528470146083
2006,2006,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,World,World,173993789,25.62,42.35,,
2006,2006,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,66965363,25.62,42.35,,
2006,2006,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Iraq, Iraq,15465438,25.62,42.35,,
2006,2006,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,5521769,25.62,42.35,,
2006,2006,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,28765053,25.62,42.35,,
2006,2006,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,2293728,25.62,42.35,,
2006,2006,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,20603228,25.62,42.35,,
2006,2006,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,19878260,25.62,42.35,,
2006,2006,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Yemen, Yemen,13256624,25.62,42.35,,
