yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,27759,25.62,42.35,-16.85099460447687,133.4130365630627
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,179898,25.62,42.35,37.977378106878206,73.97804075806764
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,40037,25.62,42.35,51.67568633314729,27.673469819741847
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,2158242,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,33097,25.62,42.35,17.925141963241547,-78.01492950057497
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,116640,25.62,42.35,43.897683433510366,-100.08947125585888
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,261573,25.62,42.35,59.36075159783851,25.01346951967388
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,3896367,25.62,42.35,10.528384761701911,103.08333472012376
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,34432,25.62,42.35,25.499703063807168,75.5024015339642
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,1410357,25.62,42.35,40.12399607988535,20.742583178432696
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,30183898,25.62,42.35,6.06272746187266,22.727528470146083
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,1624153,25.62,42.35,26.42921218083572,52.86847103284948
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,1375126,25.62,42.35,47.92172048214207,7.866753258497997
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,World,World,371660222,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Algeria, Algeria,1205370,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Azerbaijan, Azerbaijan,555175,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,57259883,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,37368,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Djibouti, Djibouti,4023683,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,4593004,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,15444004,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,71331965,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,2478802,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Libya, Libya,1716238,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Malta, Malta,147068,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Mauritania, Mauritania,325631,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,22177101,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,44199661,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,86131646,25.62,42.35,,
2005,2005,Export,Saudi Arabia,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,16224185,25.62,42.35,,
