yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2017,2017,Re-Export,Oman,World,1,Animals; live,4718753,,,-36.8535712,174.7456809
2017,2017,Re-Export,Oman,Bahrain,1,Animals; live,2363190,,,26.1551249,50.5344606
2017,2017,Re-Export,Oman,Bangladesh,1,Animals; live,5799,,,24.4769288,90.2934413
2017,2017,Re-Export,Oman,Cyprus,1,Animals; live,330,,,34.9823018,33.1451285
2017,2017,Re-Export,Oman,Finland,1,Animals; live,501,,,63.2467777,25.9209164
2017,2017,Re-Export,Oman,Georgia,1,Animals; live,202,,,32.3293809,-83.1137366
2017,2017,Re-Export,Oman,Indonesia,1,Animals; live,102538,,,-2.4833826,117.8902853
2017,2017,Re-Export,Oman,Kuwait,1,Animals; live,391833,,,29.2733964,47.4979476
2017,2017,Re-Export,Oman,Malaysia,1,Animals; live,520,,,4.5693754,102.2656823
2017,2017,Re-Export,Oman,Philippines,1,Animals; live,522,,,12.7503486,122.7312101
2017,2017,Re-Export,Oman,Qatar,1,Animals; live,1478119,,,25.3336984,51.2295295
2017,2017,Re-Export,Oman,Romania,1,Animals; live,520,,,45.9852129,24.6859225
2017,2017,Re-Export,Oman,Saudi Arabia,1,Animals; live,70993,,,25.6242618,42.3528328
2017,2017,Re-Export,Oman,India,1,Animals; live,130,,,22.3511148,78.6677428
2017,2017,Re-Export,Oman,South Africa,1,Animals; live,40436,,,-28.8166236,24.991639
2017,2017,Re-Export,Oman,Thailand,1,Animals; live,390,,,14.8971921,100.83273
2017,2017,Re-Export,Oman,United Arab Emirates,1,Animals; live,168374,,,24.0002488,53.9994829
2017,2017,Re-Export,Oman,Egypt,1,Animals; live,252,,,26.2540493,29.2675469
2017,2017,Re-Export,Oman,United Kingdom,1,Animals; live,1435,,,54.7023545,-3.2765753
2017,2017,Re-Export,Oman,United Rep. of Tanzania,1,Animals; live,260,,,,
2017,2017,Re-Export,Oman,USA,1,Animals; live,39568,,,,
2017,2017,Re-Export,Oman,Yemen,1,Animals; live,52832,,,16.3471243,47.8915271
