yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2015,2015,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1756947,31.1667049,36.941628,37.977378106878206,73.97804075806764
2015,2015,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,325082,31.1667049,36.941628,51.67568633314729,27.673469819741847
2015,2015,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,367732,31.1667049,36.941628,,
2015,2015,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,873390,31.1667049,36.941628,17.925141963241547,-78.01492950057497
2015,2015,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,3953466,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2015,2015,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,2085579,31.1667049,36.941628,59.36075159783851,25.01346951967388
2015,2015,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,474155,31.1667049,36.941628,10.528384761701911,103.08333472012376
2015,2015,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1848214,31.1667049,36.941628,40.12399607988535,20.742583178432696
2015,2015,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1537810,31.1667049,36.941628,26.42921218083572,52.86847103284948
2015,2015,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,4195706,31.1667049,36.941628,47.92172048214207,7.866753258497997
2015,2015,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,20821065,31.1667049,36.941628,,
2015,2015,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,2761348,31.1667049,36.941628,,
2015,2015,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,State of Palestine, State of Palestine,9587,31.1667049,36.941628,,
2015,2015,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,260217,31.1667049,36.941628,,
