yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Re-Export,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,1303154,31.1667049,36.941628,,
2008,2008,Re-Export,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Iraq, Iraq,989279,31.1667049,36.941628,,
2008,2008,Re-Export,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,8454,31.1667049,36.941628,,
2008,2008,Re-Export,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,State of Palestine, State of Palestine,5185,31.1667049,36.941628,,
