yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2011,2011,Import,State of Palestine,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,5892
2011,2011,Import,State of Palestine,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,77
2011,2011,Import,State of Palestine,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,443208
