yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,10125,25.3336984,51.2295295,-16.85099460447687,133.4130365630627
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1100853,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,53325,25.3336984,51.2295295,51.67568633314729,27.673469819741847
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,16394,25.3336984,51.2295295,,
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,872,25.3336984,51.2295295,17.925141963241547,-78.01492950057497
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,4997739,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1733957,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,345527,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,100137,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1248223,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,16506,25.3336984,51.2295295,6.06272746187266,22.727528470146083
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,5656,25.3336984,51.2295295,,
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,27916,25.3336984,51.2295295,,
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,166443,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1839737,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,22324877,25.3336984,51.2295295,,
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,1782,25.3336984,51.2295295,,
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,212696,25.3336984,51.2295295,,
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,303097,25.3336984,51.2295295,,
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,486,25.3336984,51.2295295,,
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,2621381,25.3336984,51.2295295,,
2014,2014,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,5127699,25.3336984,51.2295295,,
