yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Re-Export,Saudi Arabia,World,35,Albuminoidal substances; modified starches; glues; enzymes,5061887,,,-36.8535712,174.7456809
2018,2018,Re-Export,Saudi Arabia,Austria,35,Albuminoidal substances; modified starches; glues; enzymes,12220,,,47.59397,14.12456
2018,2018,Re-Export,Saudi Arabia,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,204100,,,26.1551249,50.5344606
2018,2018,Re-Export,Saudi Arabia,China,35,Albuminoidal substances; modified starches; glues; enzymes,144900,,,35.000074,104.999927
2018,2018,Re-Export,Saudi Arabia,Ethiopia,35,Albuminoidal substances; modified starches; glues; enzymes,5666,,,10.2116702,38.6521203
2018,2018,Re-Export,Saudi Arabia,Guinea,35,Albuminoidal substances; modified starches; glues; enzymes,7066,,,10.7226226,-10.7083587
2018,2018,Re-Export,Saudi Arabia,Italy,35,Albuminoidal substances; modified starches; glues; enzymes,86859,,,42.6384261,12.674297
2018,2018,Re-Export,Saudi Arabia,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,28836,,,31.1667049,36.941628
2018,2018,Re-Export,Saudi Arabia,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,2180627,,,29.2733964,47.4979476
2018,2018,Re-Export,Saudi Arabia,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,3175,,,33.8750629,35.843409
2018,2018,Re-Export,Saudi Arabia,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,18266,,,20.2540382,-9.2399263
2018,2018,Re-Export,Saudi Arabia,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,248973,,,21.0000287,57.0036901
2018,2018,Re-Export,Saudi Arabia,South Africa,35,Albuminoidal substances; modified starches; glues; enzymes,47277,,,-28.8166236,24.991639
2018,2018,Re-Export,Saudi Arabia,Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,204617,,,14.5844444,29.4917691
2018,2018,Re-Export,Saudi Arabia,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,180818,,,24.0002488,53.9994829
2018,2018,Re-Export,Saudi Arabia,Egypt,35,Albuminoidal substances; modified starches; glues; enzymes,971715,,,26.2540493,29.2675469
2018,2018,Re-Export,Saudi Arabia,USA,35,Albuminoidal substances; modified starches; glues; enzymes,77394,,,,
2018,2018,Re-Export,Saudi Arabia,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,639369,,,16.3471243,47.8915271
