yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,6422,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,12497,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,8211,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,237,35.8885993,14.4476911,25.499703063807168,75.5024015339642
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,23574,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,115978,35.8885993,14.4476911,6.06272746187266,22.727528470146083
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,2,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin,World,World,1095296,35.8885993,14.4476911,,
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,10141,35.8885993,14.4476911,,
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,16378,35.8885993,14.4476911,,
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Djibouti, Djibouti,138568,35.8885993,14.4476911,,
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Iraq, Iraq,2962,35.8885993,14.4476911,,
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Israel, Israel,2509,35.8885993,14.4476911,,
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,11347,35.8885993,14.4476911,,
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,53437,35.8885993,14.4476911,,
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,14344,35.8885993,14.4476911,,
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Libya, Libya,8561,35.8885993,14.4476911,,
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,22881,35.8885993,14.4476911,,
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,51966,35.8885993,14.4476911,,
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,496828,35.8885993,14.4476911,,
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,92652,35.8885993,14.4476911,,
2005,2005,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,5800,35.8885993,14.4476911,,
