yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,21255226,25.62,42.35,-16.85099460447687,133.4130365630627
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,370934,25.62,42.35,37.977378106878206,73.97804075806764
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,316800,25.62,42.35,,
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,36267,25.62,42.35,17.925141963241547,-78.01492950057497
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,593868,25.62,42.35,43.897683433510366,-100.08947125585888
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,9921079,25.62,42.35,59.36075159783851,25.01346951967388
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,3011471,25.62,42.35,10.528384761701911,103.08333472012376
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,238400,25.62,42.35,25.499703063807168,75.5024015339642
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,3816005,25.62,42.35,40.12399607988535,20.742583178432696
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,34400,25.62,42.35,6.06272746187266,22.727528470146083
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,3138404,25.62,42.35,26.42921218083572,52.86847103284948
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,12135748,25.62,42.35,47.92172048214207,7.866753258497997
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,World,World,76435296,25.62,42.35,,
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Bahrain, Bahrain,85600,25.62,42.35,,
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Kuwait, Kuwait,2674403,25.62,42.35,,
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Malta, Malta,368267,25.62,42.35,,
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Oman, Oman,2079736,25.62,42.35,,
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Pakistan, Pakistan,163200,25.62,42.35,,
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,12797616,25.62,42.35,,
2004,2004,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,152534,25.62,42.35,,
