yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Central Asia,Asia,1078796,30.3308401,71.247499,39.89317229901691,61.060280637304274
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,872808,30.3308401,71.247499,51.67568633314729,27.673469819741847
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Egypt,Egypt,3245765,30.3308401,71.247499,,
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,212396,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,155863,30.3308401,71.247499,10.528384761701911,103.08333472012376
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,79110,30.3308401,71.247499,25.499703063807168,75.5024015339642
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,19457,30.3308401,71.247499,40.12399607988535,20.742583178432696
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,8908954,30.3308401,71.247499,6.06272746187266,22.727528470146083
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sudan,Sudan,1508671,30.3308401,71.247499,,
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,748,30.3308401,71.247499,47.92172048214207,7.866753258497997
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,27139347,30.3308401,71.247499,,
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Afghanistan, Afghanistan,7373504,30.3308401,71.247499,,
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Algeria, Algeria,319460,30.3308401,71.247499,,
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Armenia, Armenia,17644,30.3308401,71.247499,,
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Djibouti, Djibouti,109446,30.3308401,71.247499,,
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Georgia, Georgia,218496,30.3308401,71.247499,,
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Iraq, Iraq,933758,30.3308401,71.247499,,
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Jordan, Jordan,296241,30.3308401,71.247499,,
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Lebanon, Lebanon,226466,30.3308401,71.247499,,
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Libya, Libya,54583,30.3308401,71.247499,,
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Oman, Oman,64372,30.3308401,71.247499,,
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Saudi Arabia, Saudi Arabia,649859,30.3308401,71.247499,,
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, United Arab Emirates, United Arab Emirates,357602,30.3308401,71.247499,,
2012,2012,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Yemen, Yemen,116698,30.3308401,71.247499,,
