yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Re-Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,373,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2012,2012,Re-Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,415877,25.3336984,51.2295295,,
2012,2012,Re-Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,123,25.3336984,51.2295295,,
2012,2012,Re-Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,182039,25.3336984,51.2295295,,
2012,2012,Re-Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,144113,25.3336984,51.2295295,,
2012,2012,Re-Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,89227,25.3336984,51.2295295,,
