yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,562734,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2012,2012,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,2433797,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2012,2012,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,1700,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2012,2012,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,699,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2012,2012,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,50972,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2012,2012,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,15893,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2012,2012,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,1183575,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2012,2012,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,12344,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2012,2012,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,5483235,40.7696272,44.6736646,,
2012,2012,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Georgia, Georgia,1187293,40.7696272,44.6736646,,
2012,2012,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Kuwait, Kuwait,76,40.7696272,44.6736646,,
2012,2012,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Pakistan, Pakistan,29021,40.7696272,44.6736646,,
2012,2012,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,5134,40.7696272,44.6736646,,
