yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,227,31.46,34.26,51.67568633314729,27.673469819741847
2013,2013,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,10175,31.46,34.26,43.897683433510366,-100.08947125585888
2013,2013,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,104932,31.46,34.26,59.36075159783851,25.01346951967388
2013,2013,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,18823,31.46,34.26,47.92172048214207,7.866753258497997
2013,2013,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,6737777,31.46,34.26,,
2013,2013,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Israel, Israel,6245350,31.46,34.26,,
2013,2013,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,249047,31.46,34.26,,
2013,2013,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,5224,31.46,34.26,,
2013,2013,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,4135,31.46,34.26,,
2013,2013,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,15000,31.46,34.26,,
2013,2013,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,84281,31.46,34.26,,
2013,2013,Export,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Yemen, Yemen,584,31.46,34.26,,
