yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,2583562,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2019,2019,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,91795,16.3471243,47.8915271,,
2019,2019,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,171161,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2019,2019,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,179041,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2019,2019,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,36057,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2019,2019,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,32606,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2019,2019,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,24401,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2019,2019,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,30695,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2019,2019,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,4620224,16.3471243,47.8915271,,
2019,2019,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,598285,16.3471243,47.8915271,,
2019,2019,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,63874,16.3471243,47.8915271,,
