yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2009,2009,Import,Comoros,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,3902
2009,2009,Import,Comoros,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,1786198
2009,2009,Import,Comoros,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,58648
2009,2009,Import,Comoros,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,3505885
2009,2009,Import,Comoros,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,1694460
2009,2009,Import,Comoros,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,2860922
2009,2009,Import,Comoros,25,Salt; sulfur; earths and stone; plastering materials,World,World,19231203
