yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,275332,33.8750629,35.843409,39.89317229901691,61.060280637304274
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,1981391,33.8750629,35.843409,37.977378106878206,73.97804075806764
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,159,33.8750629,35.843409,51.67568633314729,27.673469819741847
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,292321,33.8750629,35.843409,,
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,157565,33.8750629,35.843409,43.897683433510366,-100.08947125585888
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,2023,33.8750629,35.843409,59.36075159783851,25.01346951967388
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,5381,33.8750629,35.843409,10.528384761701911,103.08333472012376
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,19231,33.8750629,35.843409,25.499703063807168,75.5024015339642
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,1916049,33.8750629,35.843409,40.12399607988535,20.742583178432696
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,215130,33.8750629,35.843409,6.06272746187266,22.727528470146083
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,52564802,33.8750629,35.843409,26.42921218083572,52.86847103284948
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,62936,33.8750629,35.843409,47.92172048214207,7.866753258497997
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,World,World,78274141,33.8750629,35.843409,,
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,4250,33.8750629,35.843409,,
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Cyprus, Cyprus,4768863,33.8750629,35.843409,,
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Iraq, Iraq,13156031,33.8750629,35.843409,,
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,165400,33.8750629,35.843409,,
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,409062,33.8750629,35.843409,,
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Oman, Oman,31830,33.8750629,35.843409,,
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Qatar, Qatar,940125,33.8750629,35.843409,,
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,352607,33.8750629,35.843409,,
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,610882,33.8750629,35.843409,,
2006,2006,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Yemen, Yemen,901,33.8750629,35.843409,,
